unique_id,rating_location,rating_cleanliness,rating_staff,rating_facilities,rating_value_for_money,rating_overall
ba7b9e7b9073e745d38122d74045be00,5,5,5,4.6,5,5
60ac1903f046575659e673d05595e452,4.7,5,5,3.8,4.7,4.1
9f44a0a7acfd5ce8d7abe69978b2a9e0,5,3.5,2.9,3.4,4.3,3.5
424e80851ffa9268998759a161ef9620,3.7,5,4.5,5,4.2,4.6
820a2280b2be3049fd4efe6c3d8180db,3.7,4.3,5,4.2,5,4.5
a15cc26d987a0507e2f821741511ee1e,4.3,5,3.1,4.2,5,3.7
6032089d911e10217d7315b5e8b6c0a1,4.7,5,5,5,5,4.8
83f72733392255bcbd5dbc72b373fb20,4.9,4,5,4.7,5,5
9afd2a4f26174caa6f4c1756b9663326,4.2,3.3,3.8,3.5,4.5,4
653f1116dc8e12b979945b0a3ebaba6a,4.2,4.9,4.3,2.9,3.6,3.6
498f512852defc01b2dd14ff350ed11c,2,4.5,4.5,5,2.2,3.6
da9b35a172bec9255b606b338ebd3862,3.4,5,5,4.4,2.6,4.7
74c08e56a4cdbec14550ac1535a82408,5,4.9,4,4.4,4.9,4.7
ae3200631ff30a7e205f7923060e90fd,3.8,4.2,4,4,5,4.4
d59babf0cb6e2d0b7b6ea99981ed8337,2.8,4.7,4,4.4,5,4.2
2b27a184f4c347732efc3524334c1b03,4.1,4.1,4.8,2.3,4.7,3.7
26844a9fd617b629d5dfa51c07f5ffe1,2.1,3.6,2.7,3.2,4,3.1
7607f483e7afde0ac8c9b37e0db3662d,2.3,2.7,3,3.6,2.6,2.8
043b9a4c916430d8f7b068bc9d2a3a2c,1.8,1,3.2,3.5,2.5,2.8
cbf8641b8d2dea588123c927f63fdbf3,2.7,3.7,2.8,3.9,3.5,2.4
a48cc74b034d053c91fcc3ab5dcda2e4,4.2,4.6,4.2,1,3.1,3.3
365981d66dd1f41158bb7a86a0d55d94,3.2,3.8,2.7,4.5,3,3.8
2101d1cb5572b7a52b2ca62fa58f3129,5,1.9,5,5,3.4,4.3
6884640f126657c4242c143e80947480,4,2.8,1.7,3.7,3.9,2.9
d4f1a2bb36982491e5cd67eecb66a275,4.1,3.6,3.5,2.4,2.6,3.5
e42a93e817308c3c118cd67cfbc5b86c,1.9,1.8,1.7,1,1,1.4
b55600e03ff256afd74d7a61436dba5c,1.5,2.8,1,2.5,1,1.3
932699fb6128b606f46137f4db61d126,1,1.2,1.8,3.7,2.3,1.7
2d84c169919e6f6c4d9d693f54edaf3b,3.4,1,3.1,2.7,2.1,2.6
80068aaef0dc33b8cc5329bd7f365f94,1.2,2.9,2.6,4.3,1.7,2.1
