unique_id,name,star_rating,overview,amenities,city,latitude,longitude,image_url,num_of_standard_rooms,num_of_deluxe rooms,num_of_luxury_rooms,num_of_premium rooms,standard_room_price,deluxe_room_price,luxury_room_price,premium_room_price
ba7b9e7b9073e745d38122d74045be00,Fateh Garh Resort,5,Situated in the city of lakes. Udaipur. a city rich in cultural heritage. the historic capital of the Mewar kingdom where one can have a glimpse of the imperial Rajput era. Fateh Garh Resort is located at a distance of 30.1km away from Maharana Pratap Airport. 9.9km away from Udaipur Railway Station and there are several buses and local vehicles that connects to various parts of the city.The city is very famous for its forts and the history of Rajputana. often referred to as Venice of the East. Guest should not miss to visit the famous tourist places in and around like Jagdish Temple(6.8km). Bagore Ki Haveli(6.7km). City Palace of Udaipur(7km). Monsoon Palace(8.2km). Vintage Collection of Classic Cars Museum(8.5km) and many more.A traditionally built property with intricately designed interiors. quietly elegant and exclusive. The hotel features wide range of facilities to fulfil the varying requirement of the guest which includes front desk. swimming pool. parking facility and plenty others. Backed by a team of skilled professionals. the property ensures that all needs of guests are fulfilled timely.The sufficiently spacious rooms are perfectly designed and crafted as per the taste of guests to make their stay relaxed and comfortable. These rooms comes with amenities like television. telephone. attached bathroom. hot and cold water.Ease out and have a lovely stay at Fateh Garh Resort.,Gymnasium|Health Club|Indoor Multi Cuisine Restaurant|Lounge|Outdoor Activities|Outdoor Restaurants|Spa|Swimming Pool|Telephone|Bathroom Toiletries|Hot & Cold Running Water|Television|Air Conditioning,Udaipur,24.6,73.6,http://mahfell.com/more/ap/1.jpg,0,10,100,200,0,350,450,550
60ac1903f046575659e673d05595e452,Trident Udaipur,5,4 kms from Fateh Sagar Lake and Gulab Bagh. 5 km from City Palace. the hotel is centrally located. Outdoor swimming pool. Fitness centre. Kids club. Multi-cuisine restaurants & bar. Business centre are some of the facilities offered. Spread across 43 acres on the banks of Lake Pichola. Trident Udaipur is a 5  luxury property. known for its comfortable accommodation and top-of-the-line facilities. The hotel is in proximity to the city centre. It offers 141 rooms in three categories. namely Deluxe Garden View Room. Deluxe Pool View Room and Suites. Spacious and thoughtfully decorated. all rooms feature High-speed internet access. personal bar. tea/coffee maker. electronic safe and hair dryer. Complete with facilities like swimming pool. fitness centre. kids club and multipurpose venues (Asha Mahal. Gulab Mahal. Theme Deck Lawn and Aravali Terrace). this hotel is ideal for business and leisure travellers. Upon request. the hotel organises boat cruise. poolside dining and nature walk for guests. making their stay more enjoyable. The hotel has two dining facilities. namely Aravalli (multi-cuisine) and The Terrace (Global). which serve a range of lip-smacking delicacies. Those fond of drinks can visit Amrit Mahal. For children. the hotel offers exclusive abode called Trident Kids Club!,Babysitting Service|Business Centre|Car rental|Conference & Banquet Facilities|Fitness Centre|Free WiFi Internet|Laundry Service|Parking Facility|Restaurant|Spa services|Swimming Pool|King or Twin Bed| Tea / Coffee Maker| 260 Sq Ft| King or Twin Bed| Tea / Coffee Maker| 260 Sq Ft|,Udaipur,24.6,73.7,http://mahfell.com/more/ap/2.jpg,1,10,50,50,200,250,300,400
9f44a0a7acfd5ce8d7abe69978b2a9e0,Crowne Plaza Gurgaon,5,Situated on the National Highway 8 in the posh Sector 29 of Gurgaon. Crowne Plaza Today at an accessible distance of 14 km from Indira Gandhi International Airport and 7.4 km from Gurgaon Railway Station. Various places to visit near the hotel are Kingdom of Dreams(1.4 km). Sai Ka Angan Temple(4.8 km). DLF CyberHub(5 km). Ambience Mall(8 km). Stellar Children's Museum(8.7 km) and many more. While indoors make the best use of leisure and recreational facilities like fitness centre. swimming pool and spa. Corporate guests can choose from 11 modern and stylish meeting rooms. the largest of which can seat up to 500 delegates at a time. Wired internet. business centre and technical concierge are services available for corporate guests. Car parking. valet. internet. currency exchange and laundry are facilities available for guests. This 7 storey hotel has 234 rooms and suites. including 132 non smoking rooms. Luxurious bedding. rich furnishings and elegant decor are some of the highlights of these rooms. Modern amenities like LCD TV with premium international channels. wired internet. Wi Fi. telephone. voicemail. mini bar and tea coffee maker are provided in all rooms. Cafe G is the multi cuisine restaurant at the hotel. where guests can relish culinary delights from across the globe. Brazilian food lovers can enjoy dining at Wild Fire restaurant. For sweet delights. they can step in the hotel's bakery. Delicious. Snacks and drinks can be enjoyed at Connexions or Club Lounge within the hotel. Have a nice stay at Crowne Plaza Today!,Board Room|Business Centre|Car rental|Conference Facilities|Fitness Centre|Jacuzzi|Laundry Service|Lounge|Restaurant|Spa services|Steam Room|Swimming Pool|Valet Parking|WiFi at a charge,NewDelhiAndNCR,28.5,77.1,http://mahfell.com/more/ap/3.jpg,5,20,100,50,210,300,360,399
424e80851ffa9268998759a161ef9620,Arif Castles,5,Just 2.1 km from Mall Road and 3 km from Tallital Bus Station. Hotel Arif Castles offers restaurants. conference halls. spa. gym and disco. Hotel Arif Castles is a 4  property. located close to Tallital Bus Station in Nainital. Famous places of tourist interest like Mall Road and Naina Devi Temple lie within walking distance from the hotel. Super Deluxe. Deluxe Suite and Executive Suite are the 3 room types available at the hotel. All the rooms are centrally heated and fitted with contemporary amenities like LCD TV. direct dial phone and tea/coffee maker. Apt for both leisure and business travellers. this hotel provides conference and recreational facilities. For smooth running of corporate events. over head projector. slide projector and table mike are provided in the 2 on-site conference halls- Roof Top and Darbar Hall. Guests can also enjoy snooker. pool. table tennis and many more games at Maharaja Jehangirabad Billiard Hall. The hotel also houses a discotheque named  Discotheque and spa & fitness centre called The Royale Spa & Fitness Centre. Savour Indian. Chinese and Continental dishes at the on-site multi-cuisine restaurant- Aab-o-Dana. Light meals and beverages can be enjoyed at the coffee shop called Verandah and the open-air area named The Fire Place. Benefit from effective beauty treatments and massages at the hotel's spa and fitness centre.,Activity Centre|Airport Transfer|Ayurveda Centre|Board Games|Bonfire|Business Centre|Car rental|Children's Play Area|Coffee Shop|Conference & Banquet Facilities|Dining Hall|Doctor on Call|Executive Lounge|Facilities for disabled guests|Fitness Centre|Game Room|Guide Service|Internet Facility|Laundry Service|Massage Centre|Outdoor Activities|Parking Facility|Railway Station Transfer|Restaurant|Room service (24 hours)|Shuttle Service|Spa services|Table Tennis|Taxi Services|Video Games|Tea/Coffee Maker|Telephone|Toiletries in the Bathroom|Room Service|Geyser|24-hr Hot & Cold Water|Television|Tea/Coffee Maker|24-hr Hot & Cold Water|Central Heating|Television|Direct dial phone|Satellite television|Tea/Coffee Maker|Television,Nainital,29.4,79.4,http://mahfell.com/more/ap/4.jpg,0,0,50,50,0,0,350,450
820a2280b2be3049fd4efe6c3d8180db,The Raj Palace,5,The Raj Palace is nestled in Jaipur where tourists can have various options for stay. Several Budget hotels and guest houses are available at affordable cost in Jaipur. The Raj Palace offers luxurious service apartments that are specifically designed to make the stay comfortable. The hotel is located at an accessible distance from Jaipur International Airport(13.6 km) and Jaipur Railway Station(6.5 km).Â Â The property host an array of all modern amenities like Wi-Fi. front desk. room service. assistance of doctor on request and many more for a relax and comfortable stay. Guests can avail rejuvenating massage therapies and treatments at the in-house spa. Fitness lover can t their day at in-house gymnasium and enjoy their workout. While staying here. guests can enjoy a refreshing dip in the swimming pool or simply relax beside it. The multi-cuisine restaurant of the hotel has a perfect setting where guests can enjoy scrumptious regional. Chinese and Continental dishes. There is a coffee shop where they can enjoy light snacks with refreshing beverages. Â Â There is also a bar and lounge present within the premises. offering an assortment of drinks. delectable wines and cigars. The conferencing and banqueting spaces available at the hotel are ideal for organizing business and social events. The rooms are well furnished with unique interiors with a feel of an upscale home including comfy beds and comfortable linens. Evoking the grandeur and opulence. all rooms are finely appointed with all necessary room amenities like television and many more. The professional and attentive staff of the hotel is always ready to help guests to make their stay a delightful one. All rooms have attached bathrooms well equipped with essential bathroom amenities and toiletries along with hot/cold water supply. Â While staying in this beautiful city one should surely take a visit to Hawa Mahal(1.6 km). Jantar Mantar(2 km). City Palace(2 km). Nahargarh Fort(3.6 km). Jaigarh Fort(8.4 km) and many other to make stay more memorable. Shopaholics can also indulge in shopping spree at nearby shopping places that lies in proximity to the hotel. Â Experience a grand stay at The Raj Palace!,Activity Centre|Airport/Rlwy Stn Transfer|Ayurveda Centre|Babysitting Service|Business Centre|Casino|Coffee Shop|Conference Facilities|Dining Hall|Disabled facilities|Doctor on Call|Games Room|Laundry Service|Library|Massage Centre|Outdoor Activities|Parking Facility|Restaurant|Spa services|Sun Beds|Swimming Pool|Taxi Services|Wi-Fi Internet|Yoga Classes|Tea/Coffee Maker|Electronic Safe|Ironing Board|Bathroom Toiletries|DVD Player|Mineral Water|Fruit Basket|Mini Refrigerator|Daily Newspaper|24-hr Room Service|Dining Table|WiFi Internet|Room Heater|Study Table|Living Room|Sofa Unit|Data Port|Hot & Cold Running Water|Intercom|Television|Direct dial phone|Air Conditioning|Mini bar|Balcony / Sit Out|Bathtub|Tea/Coffee Maker|Electronic Safe|Ironing Board|Bathroom Toiletries|DVD Player|Mineral Water|Fruit Basket|Mini Refrigerator|Daily Newspaper|24-hr Room Service|Dining Table|WiFi Internet|Room Heater|Study Table|Living Room|Sofa Unit|Data Port|Hot & Cold Running Water|Intercom|Television|Direct dial phone|Air Conditioning|Mini bar|Balcony / Sit Out|Bathtub|Tea/Coffee Maker|Electronic Safe|Ironing Board|Bathroom Toiletries|DVD Player|Mineral Water|Fruit Basket|Mini Refrigerator|Daily Newspaper|24-hr Room Service|Dining Table|WiFi Internet|Room Heater|Study Table|Living Room|Sofa Unit|Data Port|Hot & Cold Running Water|Intercom|Television|Direct dial phone|Air Conditioning|Mini bar|Bathtub,Jaipur,26.9,75.8,http://mahfell.com/more/ap/5.jpg,0,0,0,78,0,0,0,750
a15cc26d987a0507e2f821741511ee1e,Hotel Raas,5,Located in Makrana Mohalla. Hotel Raas is approximately a 15-minute drive from Jodhpur Airport. This property is also a 20-minute drive from Jodhpur Railway Station. Guests can visit the famous Umaid Bhawan Palace. around 15 minutes from here. At leisure. guests can bliss out with a Swedish massage or aromatherapy. performed with naturally volcanic stones at Raas Spa of the hotel. To meet the specific requirements of corporate guests. the hotel is facilitated with a well-equipped business centre. Other facilities offered here include swimming pool. gift shop. tour desk. concierge and internet access.The luxurious and well-furnished rooms and suites in the hotel feature elegant decor and furnishings. Categorised as Garden rooms. Luxury Rooms. Duplex Suites and Heritage Suites. all rooms are fitted with cable television. phone. refrigerator. tea/coffee maker. microwave. air conditioner. hairdryer and internet access. Private bathrooms have proper sanitary fittings and requisite toiletries.Savour flavoursome local and international delicacies along with refreshing drinks at the in-house restaurants. Darikhana and Baradari. respectively. Also. there is an al fresco cafe. where guests can enjoy lip-smacking snacks and freshly brewed coffee.Gain an insight into the rich cultural heritage of the region at the Mehrangarh Fort. about a 25-minute drive from this property.,Airport Transfer|Ayurveda Centre|Babysitting Service|Bar|Bonfire|Business centre|Coffee Shop|Conference Hall|Doctor on Call|Facilities for disabled guests|Guide Service|Internet Facility|Laundry Service|Library|Parking Facility|Railway Station Transfer|Restaurant|Sun Beds (pool)|Swimming Pool|Taxi Services,Jodhpur,26.3,73,http://mahfell.com/more/ap/6.jpg,10,50,50,90,190,250,290,340
6032089d911e10217d7315b5e8b6c0a1,James Hotel (Formerly Park Plaza Chandigarh),5,1.3 km from Rose Garden. 10.1 km from Chandigarh Railway Station. 11.2 km from Airport. Wi-Fi. 2 Restaurants. Coffee shop. Bar Just a 20-minute drive from the main railway station. Park Plaza - A Sarovar Hotel is located in Sector-17 - a major shopping hub of the city. It features 138 thoughtfully designed rooms that include Superior Rooms. Premium Rooms. Junior Suite and Suites. Special rooms for differently-abled and single lady travellers are also available. All centrally air-conditioned rooms are provided with the best of amenities. promising a luxurious stay to guests. The hotel has two banquet halls and four boardrooms for catering to the needs of corporate guests. Recreational facilities like spa and state-of-the-art gymnasium delight leisure travellers. Other facilities include travel desk. business centre. valet parking. laundry. currency exchange and concierge. The Oriental Blossom is a stylish restaurant. where expert chefs prepare delectable Oriental dishes. Cinnamon-the coffee shop serving multi-cuisine delicacies and Indi-spice- the Indian speciality restaurant are the other two contemporary dining options that allow guests to tickle their taste buds. Geoffrey's. The Pub is the well-stocked bar offering a great selection of exotic spirits. mocktails and cocktails. Do visit Rock Garden nearby. one of the most popular tourist attraction in Chandigarh. Shopping enthusiasts can visit Sector 17 Shopping Centre. which is lined with several retail stores.,Business center|Facilities for disabled guests|Fitness Centre|Laundry Service|Lounge|Massage|Non-Smoking Rooms|Parking Facility|Restaurant|Room Service|Sea View|Soundproof rooms|Spa services|Taxi Services|Tour assistance|Wi-Fi Internet|Minibar|Tea/Coffee Maker|Ironing Board|Bathroom Toiletries|DVD Player|Mineral Water|Fruit Basket|Hair Dryer|Bathrobe|Guest Slippers|WiFi Internet|Television|Direct dial phone|Satellite television|In room safe|Minibar|Tea/Coffee Maker|Ironing Board|Bathroom Toiletries|DVD Player|Mineral Water|Hair Dryer|Bathrobe|Guest Slippers|WiFi Internet|Television|Direct dial phone|In room safe|Tea/Coffee Maker|Weighing Scale|Bathroom Toiletries|DVD Player|Hair Dryer|Bathrobe|Guest Slippers|WiFi Internet|Room Heater|Study Table|Living Room|Direct dial phone|Air Conditioning|Hairdryer|Safe Deposit Locker|Full-length mirror|Satellite T.v.|Shower Area|Bath Tub|In room safe|Mini-bar|Sofa|Electronic Cattle|Room Size:51 sq m(548 sq ft)|In-room safe (laptop compatible)|Garden view|Shower|Tea/Coffee Maker|Weighing Scale|Telephone|Bathroom Toiletries|DVD Player|Hair Dryer|Bathrobe|Guest Slippers|WiFi Internet|Room Heater|Study Table|Direct dial phone|Air Conditioning|Mini bar|Safe Deposit Locker|Full-length mirror|Satellite T.v.|Shower Area|In room safe|Sofa|Electronic Cattle|Room Size:66 sq m(709 sq ft)|Soundproofed rooms|In-room safe (laptop compatible)|Shower,Chandigarh,30.7,76.8,http://mahfell.com/more/ap/7.jpg,0,30,10,20,0,200,350,400
83f72733392255bcbd5dbc72b373fb20,Hilton Garden Inn,5,Set in the heart of Thiruvananthapuram. capital city of Kerela. Hilton Garden Inn stands as an epitome of plush hospitality blended with the utmost luxury and comfort. It offers Wi-Fi. laundry. car rental desk. currency exchange. room service and elevators. The cozy in-house restaurants are a perfect place to pamper the taste buds with a wide range of delectable dishes. The hotel is located at a distance of 3 km from Thiruvananthapuram Central and 6 km from Trivandrum International Airport. Â Business center is exclusively created for the regular programs and activities of corporates and professionals. The on-site bar is well stocked with exotic drinks and fine spirits that can easily tantalize any weary soul. Guests can use the fitness center in the hotel with ease and stay refreshed everyday. To offer complete relaxation to patrons. this edifice houses a swimming pool. One can dive in its clear cobalt waters to soak away their worries. Â Stylish rooms in impressive variations offer a bountiful stay with modern services and world-class hospitality. Their interiors are done to extend optimum solace and coziness to tired soul. They are designed with space to work and live. ideal for those who want to have a uniqueÂ blendÂ ofÂ homeÂ andÂ businessÂ experience. They are equipped with television. telephone. tea/coffee making facilities and electronic safe. Â Conveniently located close to commercial and business hub and most tourist attraction. the visitors can visit places like Sree Padmanabhaswamy Temple(2 km). Pazhavangadi Ganapathi Temple(2 km). Attukal Bhagavathy Temple(4 km). Kovalam Beach(15 km). Vizhinjam Lighthouse(15 km) and many more. The travel desk at the hotel assists in planning a trip to nearby tourist attractions. Â Hilton Garden Inn welcomes guest with its amicable hospitality!,24 hour security|24 hours front desk|24 hours power back-up|A/C Power Backup Available|AC/Heater|Air Conditioned|Airport Transfer|Airport transportation (surcharge)|Airport/Rlwy Stn Transfer|Allergy-free room|Arrangements Of Kitty Parties & Birthday Party|Assistance with luggage on request|Audio visual equipment|Baby cot|Babysitting or childcare (surcharge)|Babysitting Service|Backup generator|Bakery|Ballroom|Banquet facilities|Bar|Barbecue grill(s)|Board Room|Books/Magazines|Bridal Suite|Business centre|Business services|Car rental|Cardio theatre|Catering services|Childcare facilities|Coffee Shop|Conference Hall|Connecting rooms|Convention centre|Corporate training|Credit cards accepted|Currency Exchange|Designated Smoking Area|Designated smoking areas (fines apply)|Disabled facilities|Doctor on Call|Dry cleaning/laundry service|Elevator|Emergency power generator|Equipment hire|Event catering|Executive services|Exercise room|Exhibition hall|Express Check-In/Check-Out|Extra Bed (On Request)|Extra Mattress (On Request)|Facilities for disabled guests|Family Rooms|Fax/Photocopying|Fitness Centre|Fitness centre (nearby)|Foreign exchange assistance|Free Parking|Free valet parking|Free WiFi Internet|Front desk|Full board rates available|Function room(s)|Gift/souvenir shop|Half board rates available|Handicraft shop|Hot & Cold water|Hot and cold running water available 24 hrs|Housekeeping|In room safe|Indoor Recreation Centre|Information desk|Internet centre|Internet Facility|Iron/Iron board|Ironing Service|Laundry Service|Laundry Service (At a charge)|Live Entertainment|Lounge|Luggage Storage|Medical services|Meeting room|Microwave in lobby|Multilingual staff|Newspaper|Non-Smoking Rooms|Non-smoking rooms and areas|Office space|Outdoor Swimming Pool|Packed Lunches|Park Nearby|Parking (nearby)|Parking Facility|Personal trainer|Pest Control|Pets not allowed|Photocopying|Poolside bar|Printing service|Private check in/out|Railway Station Transfer|Reception rooms|Recreation|Restaurant|Restaurant/Bar|Room cleaning service|Room Service|Room service (24 hours)|Room Service. 24 Hour Reception And Laundry Service|Rooms/Facilities for Disabled Guests|Safety Deposit Box|Satellite Television|Seminar facilities|Separate Lounge|Shelves or drawer space for longer stays|Shops (nearby)|Shops in Hotel|Shuttle Service (surcharge)|Smoke detectors|Snack Bar|Sofa Cum bed|Souvenirs/Gift Shop|Special Diet Menus (on request)|Supervised childcare/activities|Swimming Pool|Taxi Services|Technology helpdesk|Technology support staff|Telephone/fax machine|Terrace|Tour assistance|Train station pickup (surcharge)|Travel Assistance|Travel desk|Trolley|Umbrellas|Valet Parking|Vehicle hire|Video conferencing|VIP lounge|VIP Room Facilities|Visa service|Voicemail|Wake up call service on request|Wedding services|Wheelchair access|Wheelchairs available|Wi-Fi Internet|Wine shop|Wine tasting,Thiruvananthapuram,8.5,77,http://mahfell.com/more/ap/8.jpg,0,10,10,10,0,180,260,340
9afd2a4f26174caa6f4c1756b9663326,Apollo Dimora Hotel,4,Tucked away in Thiruvananthapuram. Apollo Dimora Hotel is an artwork of impeccable design. spacious layout and fine accents. An over all ambience of luxury and comfort has been carefully created to make corporate and leisure travellers feel more welcome at the hotel and more reasons to stay with distinct accommodation experience not quite like any other. The property can be reached from Thiruvananthapuram airport and Thiruvananthapuram Central railway station. The hotel offer a thrilling choice of dining options. sure to delight the epicure.specialising in vegetarian and multi-cuisine delicacies. It features well-equipped conferencing and banqueting venues. making it a perfect base for corporate and leisure events. One can also take a dip in the azure water of its inviting swimming pool. The homely atmosphere and friendly staff makes visitors stay enjoyable. Fitness freaks can practice healthy workouts at fitness center within the premises. The rooms have sophisticated interiors and are well maintained. Each and every room offers unmatched solace and peacefulness. They feature requisite amenities like electronic safe. tea/coffee kettle. work desk and many more. For guests who prefer to relax and dine in the comfort of their rooms. the in-room dining service can be availed. The rooms have attached bathrooms fitted with essential toiletries. Have a pleasant stay at Apollo Dimora Hotel!,Banquet facilities|Board Room|Parking Facility|Restaurant|Room Service|Rooms/Facilities for Disabled Guests|Swimming Pool,Thiruvananthapuram,8.5,77,http://mahfell.com/more/ap/9.jpg,30,20,20,10,66,90,190,290
653f1116dc8e12b979945b0a3ebaba6a,Express Towers,4,Located on R.C. Dutt Road. Express Towers is one of the prominent hotels in Vadodara. This 4  hotel features 65 rooms that feature stylish and elegant interiors complete with modern furnishings. Guests can choose to stay in Executive Deluxe. Studio Suite or Suite category of rooms. Conveniences like LCD TV. ISDN telephone. electronic safe. Wi-Fi and mini bar are provided in all the rooms. With a business centre and three conference halls viz. Oaks Room. Cedar Room and Board Room. the hotel caters well to the needs of corporate. Moreover. the hotel also facilitates weddings and other social events. Facilities like Wi-Fi. airport pick-up. currency exchange. travel desk and laundry are also available at the hotel. Guests can relish authentic Gujarati dishes in a casual and modern setting at the in-house restaurant Mandap. Additionally. they can savour Thai and Chinese delights at the restaurant 24 Carats and freshly made cakes at the cake shop - Muffins. Gain an insight into city's heritage at Laxmi Vilas Palace or enjoy a boat ride on Sursagar Lake. which are located within 5 km radius of the hotel.,Board Room|Business Centre|Car rental|Conference & Banquet Facilities|Doctor on Call|Laundry Service|Parking Facility|Restaurant|Secretarial Services|Tennis Court|Wine shop|Tea/Coffee Maker|Bathroom Toiletries|Mineral Water|Daily Newspaper|24-hr Room Service|LCD TV|Minibar|Telephone|Bathroom Toiletries|24-hour Room Service|WiFi Internet Connectivity|Study Table|Sofa Unit|24-hr Hot & Cold Water|Television|Air Conditioning|Minibar|Telephone|Bathroom Toiletries|24-hr Room Service|WiFi Internet|Study Table|Sofa Unit|24-hr Hot & Cold Water|Television|Air Conditioning|Minibar|Telephone|Bathroom Toiletries|Hair Dryer|24-hour Room Service|WiFi Internet Connectivity|Study Table|Sofa Unit|24-hr Hot & Cold Water|Television|Air Conditioning,Vadodara,22.3,73.2,http://mahfell.com/more/ap/10.jpg,20,20,20,10,60,110,200,280
